1927/1928  1        Actor|Richard Barthelmess|The Noose
             Winner Short Film (Live Action)|Black Rider (Schwarzfahrer)|Pepe Danquart
                    Short Film (Live Action)|Down on the Waterfront|Stacy Title, Jonathan Penner
                    Short Film (Live Action)|The Dutch Master|Susan Seidelman, Jonathan Brett
                    Short Film (Live Action)|Partners|Peter Weller, Jana Sue Memel
                    Short Film (Live Action)|The Screw (La Vis)|Didier Flamand
                    Sound|Cliffhanger|Michael Minkler, Bob Beemer, Tim Cooney
                    Sound|The Fugitive|Donald O. Mitchell, Michael Herbick, Frank A. Montaño, Scott D. Smith
                    Sound|Geronimo: An American Legend|Chris Carpenter, D. M. Hemphill, Bill W. Benton, Lee Orloff
             Winner Sound|Jurassic Park|Gary Summers, Gary Rydstrom, Shawn Murphy, Ron Judkins
                    Sound|Schindler's List|Andy Nelson, Steve Pederson, Scott Millan, Ron Judkins
                    Sound Effects Editing|Cliffhanger|Wylie Stateman, Gregg Baxter
                    Sound Effects Editing|The Fugitive|John Leveque, Bruce Stambler
             Winner Sound Effects Editing|Jurassic Park|Gary Rydstrom, Richard Hymns
                    Visual Effects|Cliffhanger|Neil Krepela, John Richardson, John Bruno, Pamela Easley
             Winner Visual Effects|Jurassic Park|Dennis Muren, Stan Winston, Phil Tippett, Michael Lantieri
                    Visual Effects|The Nightmare before Christmas|Pete Kozachik, Eric Leighton, Ariel Velasco Shaw, Gordon Baker
                    Writing (Screenplay Based on Material Previously Produced or Published)|The Age of Innocence|Jay Cocks, Martin Scorsese
                    Writing (Screenplay Based on Material Previously Produced or Published)|In the Name of the Father|Terry George, Jim Sheridan
                    Writing (Screenplay Based on Material Previously Produced or Published)|The Remains of the Day|Ruth Prawer Jhabvala
             Winner Writing (Screenplay Based on Material Previously Produced or Published)|Schindler's List|Steven Zaillian
                    Writing (Screenplay Based on Material Previously Produced or Published)|Shadowlands|William Nicholson
                    Writing (Screenplay Written Directly for the Screen)|Dave|Gary Ross
                    Writing (Screenplay Written Directly for the Screen)|In the Line of Fire|Jeff Maguire
                    Writing (Screenplay Written Directly for the Screen)|Philadelphia|Ron Nyswaner
             Winner Writing (Screenplay Written Directly for the Screen)|The Piano|Jane Campion
                    Writing (Screenplay Written Directly for the Screen)|Sleepless in Seattle|Screenplay by Nora Ephron, David S. Ward, Jeff Arch; Story by Jeff Arch
             Winner Jean Hersholt Humanitarian Award|Paul Newman|
             Winner Honorary Award|Deborah Kerr|
             Winner Gordon E. Sawyer Award|Petro Vlahos|
1994      67        Actor in a Leading Role|Morgan Freeman|The Shawshank Redemption
             Winner Actor in a Leading Role|Tom Hanks|Forrest Gump
                    Actor in a Leading Role|Nigel Hawthorne|The Madness of King George
                    Actor in a Leading Role|Paul Newman|Nobody's Fool
                    Actor in a Leading Role|John Travolta|Pulp Fiction
                    Actor in a Supporting Role|Samuel L. Jackson|Pulp Fiction
             Winner Actor in a Supporting Role|Martin Landau|Ed Wood
                    Actor in a Supporting Role|Chazz Palminteri|Bullets over Broadway
                    Actor in a Supporting Role|Paul Scofield|Quiz Show
                    Actor in a Supporting Role|Gary Sinise|Forrest Gump
                    Actress in a Leading Role|Jodie Foster|Nell
             Winner Actress in a Leading Role|Jessica Lange|Blue Sky
                    Actress in a Leading Role|Miranda Richardson|Tom & Viv
                    Actress in a Leading Role|Winona Ryder|Little Women
                    Actress in a Leading Role|Susan Sarandon|The Client
                    Actress in a Supporting Role|Rosemary Harris|Tom & Viv
                    Actress in a Supporting Role|Helen Mirren|The Madness of King George
                    Actress in a Supporting Role|Uma Thurman|Pulp Fiction
                    Actress in a Supporting Role|Jennifer Tilly|Bullets over Broadway
             Winner Actress in a Supporting Role|Dianne Wiest|Bullets over Broadway
                    Art Direction|Bullets over Broadway|Art Direction: Santo Loquasto; Set Decoration: Susan Bode
                    Art Direction|Forrest Gump|Art Direction: Rick Carter; Set Decoration: Nancy Haigh
                    Art Direction|Interview with the Vampire|Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo
                    Art Direction|Legends of the Fall|Art Direction: Lilly Kilvert; Set Decoration: Dorree Cooper
             Winner Art Direction|The Madness of King George|Art Direction: Ken Adam; Set Decoration: Carolyn Scott
                    Cinematography|Forrest Gump|Don Burgess
             Winner Cinematography|Legends of the Fall|John Toll
                    Cinematography|Red|Piotr Sobocinski
                    Cinematography|The Shawshank Redemption|Roger Deakins
                    Cinematography|Wyatt Earp|Owen Roizman
             Winner Costume Design|The Adventures of Priscilla, Queen of the Desert|Lizzy Gardiner, Tim Chappel
                    Costume Design|Bullets over Broadway|Jeffrey Kurland
                    Costume Design|Little Women|Colleen Atwood
                    Costume Design|Maverick|April Ferry
                    Costume Design|Queen Margot|Moidele Bickel
                    Directing|Bullets over Broadway|Woody Allen
             Winner Directing|Forrest Gump|Robert Zemeckis
                    Directing|Pulp Fiction|Quentin Tarantino
                    Directing|Quiz Show|Robert Redford
                    Directing|Red|Krzysztof Kieslowski
                    Documentary (Feature)|Complaints of a Dutiful Daughter|Deborah Hoffmann
                    Documentary (Feature)|D-Day Remembered|Charles Guggenheim
                    Documentary (Feature)|Freedom on My Mind|Connie Field, Marilyn Mulford
                    Documentary (Feature)|A Great Day in Harlem|Jean Bach
             Winner Documentary (Feature)|Maya Lin: A Strong Clear Vision|Freida Lee Mock, Terry Sanders
                    Documentary (Short Subject)|Blues Highway|Vince DiPersio, Bill Guttentag
                    Documentary (Short Subject)|89mm od Europy (89mm from Europe)|Marcel Lozinski
                    Documentary (Short Subject)|School of Assassins|Robert Richter
                    Documentary (Short Subject)|Straight from the Heart|Dee Mosbacher, Frances Reid
             Winner Documentary (Short Subject)|A Time for Justice|Charles Guggenheim
             Winner Film Editing|Forrest Gump|Arthur Schmidt
                    Film Editing|Hoop Dreams|Frederick Marx, Steve James, Bill Haugse
                    Film Editing|Pulp Fiction|Sally Menke
                    Film Editing|The Shawshank Redemption|Richard Francis-Bruce
                    Film Editing|Speed|John Wright
                    Foreign Language Film|Before the Rain|The Former Yugoslav Republic of Macedonia
             Winner Foreign Language Film|Burnt by the Sun|Russia
                    Foreign Language Film|Eat Drink Man Woman|Taiwan
                    Foreign Language Film|Farinelli: Il Castrato|Belgium
                    Foreign Language Film|Strawberry and Chocolate|Cuba
             Winner Makeup|Ed Wood|Rick Baker, Ve Neill, Yolanda Toussieng
                    Makeup|Forrest Gump|Daniel C. Striepeke, Hallie D'Amore, Judith A. Cory
                    Makeup|Mary Shelley's Frankenstein|Daniel Parker, Paul Engelen, Carol Hemming
                    Music (Original Score)|Forrest Gump|Alan Silvestri
                    Music (Original Score)|Interview with the Vampire|Elliot Goldenthal
             Winner Music (Original Score)|The Lion King|Hans Zimmer
                    Music (Original Score)|Little Women|Thomas Newman
                    Music (Original Score)|The Shawshank Redemption|Thomas Newman
             Winner Music (Original Song)|"""Can You Feel The Love Tonight"" from The Lion King"|Music by Elton John; Lyric by Tim Rice
                    Music (Original Song)|"""Circle Of Life"" from The Lion King"|Music by Elton John; Lyric by Tim Rice
                    Music (Original Song)|"""Hakuna Matata"" from The Lion King"|Music by Elton John; Lyric by Tim Rice
                    Music (Original Song)|"""Look What Love Has Done"" from Junior"|Music and Lyric by Carole Bayer Sager, James Newton Howard, James Ingram and Patty Smyth
                    Music (Original Song)|"""Make Up Your Mind"" from The Paper"|Music and Lyric by Randy Newman
             Winner Best Picture|Forrest Gump|Wendy Finerman, Steve Tisch and Steve Starkey, Producers
                    Best Picture|Four Weddings and a Funeral|Duncan Kenworthy, Producer
                    Best Picture|Pulp Fiction|Lawrence Bender, Producer
                    Best Picture|Quiz Show|Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers
                    Best Picture|The Shawshank Redemption|Niki Marvin, Producer
                    Short Film (Animated)|The Big Story|Tim Watts, David Stoten
             Winner Short Film (Animated)|Bob's Birthday|Alison Snowden, David Fine
                    Short Film (Animated)|The Janitor|Vanessa Schwartz
                    Short Film (Animated)|The Monk and the Fish|Michael Dudok de Wit
                    Short Film (Animated)|Triangle|Erica Russell
             Winner Short Film (Live Action)|Franz Kafka's It's a Wonderful Life|Peter Capaldi, Ruth Kenley-Letts
                    Short Film (Live Action)|Kangaroo Court|Sean Astin, Christine Astin
                    Short Film (Live Action)|On Hope|JoBeth Williams, Michele McGuire
                    Short Film (Live Action)|Syrup|Paul Unwin, Nick Vivian
             Winner Short Film (Live Action)|Trevor|Peggy Rajski, Randy Stone
                    Sound|Clear and Present Danger|Donald O. Mitchell, Michael Herbick, Frank A. Montaño, Arthur Rochester
                    Sound|Forrest Gump|Randy Thom, Tom Johnson, Dennis Sands, William B. Kaplan
                    Sound|Legends of the Fall|Paul Massey, David Campbell, Christopher David, Douglas Ganton
                    Sound|The Shawshank Redemption|Robert J. Litt, Elliot Tyson, Michael Herbick, Willie Burton
             Winner Sound|Speed|Gregg Landaker, Steve Maslow, Bob Beemer, David R. B. MacMillan
                    Sound Effects Editing|Clear and Present Danger|Bruce Stambler, John Leveque
                    Sound Effects Editing|Forrest Gump|Gloria S. Borders, Randy Thom
             Winner Sound Effects Editing|Speed|Stephen Hunter Flick
             Winner Visual Effects|Forrest Gump|Ken Ralston, George Murphy, Stephen Rosenbaum, Allen Hall
                    Visual Effects|The Mask|Scott Squires, Steve Williams, Tom Bertino, Jon Farhat
                    Visual Effects|True Lies|John Bruno, Thomas L. Fisher, Jacques Stroweis, Patrick McClung
             Winner Writing (Screenplay Based on Material Previously Produced or Published)|Forrest Gump|Eric Roth
                    Writing (Screenplay Based on Material Previously Produced or Published)|The Madness of King George|Alan Bennett
                    Writing (Screenplay Based on Material Previously Produced or Published)|Nobody's Fool|Robert Benton
                    Writing (Screenplay Based on Material Previously Produced or Published)|Quiz Show|Paul Attanasio
                    Writing (Screenplay Based on Material Previously Produced or Published)|The Shawshank Redemption|Frank Darabont
                    Writing (Screenplay Written Directly for the Screen)|Bullets over Broadway|Woody Allen, Douglas McGrath
                    Writing (Screenplay Written Directly for the Screen)|Four Weddings and a Funeral|Richard Curtis
                    Writing (Screenplay Written Directly for the Screen)|Heavenly Creatures|Frances Walsh, Peter Jackson
             Winner Writing (Screenplay Written Directly for the Screen)|Pulp Fiction|Screenplay by Quentin Tarantino; Stories by Quentin Tarantino & Roger Avary
                    Writing (Screenplay Written Directly for the Screen)|Red|Krzysztof Piesiewicz, Krzysztof Kieslowski
             Winner Jean Hersholt Humanitarian Award|Quincy Jones|
             Winner Honorary Award|Michelangelo Antonioni|
             Winner Irving G. Thalberg Memorial Award|Clint Eastwood|
             Winner Medal of Commendation|John A. Bonner|
1995      68 Winner Actor in a Leading Role|Nicolas Cage|Leaving Las Vegas
                    Actor in a Leading Role|Richard Dreyfuss|Mr. Holland's Opus
                    Actor in a Leading Role|Anthony Hopkins|Nixon
                    Actor in a Leading Role|Sean Penn|Dead Man Walking
                    Actor in a Leading Role|Massimo Troisi|The Postman (Il Postino)
                    Actor in a Supporting Role|James Cromwell|Babe
                    Actor in a Supporting Role|Ed Harris|Apollo 13
                    Actor in a Supporting Role|Brad Pitt|12 Monkeys
                    Actor in a Supporting Role|Tim Roth|Rob Roy
             Winner Actor in a Supporting Role|Kevin Spacey|The Usual Suspects
             Winner Actress in a Leading Role|Susan Sarandon|Dead Man Walking
                    Actress in a Leading Role|Elisabeth Shue|Leaving Las Vegas
                    Actress in a Leading Role|Sharon Stone|Casino
                    Actress in a Leading Role|Meryl Streep|The Bridges of Madison County
                    Actress in a Leading Role|Emma Thompson|Sense and Sensibility
                    Actress in a Supporting Role|Joan Allen|Nixon
                    Actress in a Supporting Role|Kathleen Quinlan|Apollo 13
             Winner Actress in a Supporting Role|Mira Sorvino|Mighty Aphrodite
                    Actress in a Supporting Role|Mare Winningham|Georgia
                    Actress in a Supporting Role|Kate Winslet|Sense and Sensibility
                    Art Direction|Apollo 13|Art Direction: Michael Corenblith; Set Decoration: Merideth Boswell
                    Art Direction|Babe|Art Direction: Roger Ford; Set Decoration: Kerrie Brown
                    Art Direction|A Little Princess|Art Direction: Bo Welch; Set Decoration: Cheryl Carasik
             Winner Art Direction|Restoration|Eugenio Zanetti
                    Art Direction|Richard III|Tony Burrough
                    Cinematography|Batman Forever|Stephen Goldblatt
             Winner Cinematography|Braveheart|John Toll
                    Cinematography|A Little Princess|Emmanuel Lubezki
                    Cinematography|Sense and Sensibility|Michael Coulter
                    Cinematography|Shanghai Triad|Lu Yue
                    Costume Design|Braveheart|Charles Knode
             Winner Costume Design|Restoration|James Acheson
                    Costume Design|Richard III|Shuna Harwood
                    Costume Design|Sense and Sensibility|Jenny Beavan, John Bright
                    Costume Design|12 Monkeys|Julie Weiss
                    Directing|Babe|Chris Noonan
             Winner Directing|Braveheart|Mel Gibson
                    Directing|Dead Man Walking|Tim Robbins
                    Directing|Leaving Las Vegas|Mike Figgis
                    Directing|The Postman (Il Postino)|Michael Radford
             Winner Documentary (Feature)|Anne Frank Remembered|Jon Blair
                    Documentary (Feature)|The Battle over Citizen Kane|Thomas Lennon, Michael Epstein
                    Documentary (Feature)|Fiddlefest--Roberta Tzavaras and Her East Harlem Violin Program|Allan Miller, Walter Scheuer
                    Documentary (Feature)|Hank Aaron: Chasing the Dream|Mike Tollin, Fredric Golding
                    Documentary (Feature)|Troublesome Creek: A Midwestern|Jeanne Jordan, Steven Ascher
                    Documentary (Short Subject)|Jim Dine: A Self-Portrait on the Walls|Nancy Dine, Richard Stilwell
                    Documentary (Short Subject)|The Living Sea|Greg MacGillivray, Alec Lorimore
                    Documentary (Short Subject)|Never Give Up: The 20th Century Odyssey of Herbert Zipper|Terry Sanders, Freida Lee Mock
             Winner Documentary (Short Subject)|One Survivor Remembers|Kary Antholis
                    Documentary (Short Subject)|The Shadow of Hate|Charles Guggenheim
             Winner Film Editing|Apollo 13|Mike Hill, Dan Hanley
                    Film Editing|Babe|Marcus D'Arcy, Jay Friedkin
                    Film Editing|Braveheart|Steven Rosenblum
                    Film Editing|Crimson Tide|Chris Lebenzon
                    Film Editing|Seven|Richard Francis-Bruce
                    Foreign Language Film|All Things Fair|Sweden
             Winner Foreign Language Film|Antonia's Line|The Netherlands
                    Foreign Language Film|Dust of Life|Algeria
                    Foreign Language Film|O Quatrilho|Brazil
                    Foreign Language Film|The Star Maker|Italy
             Winner Makeup|Braveheart|Peter Frampton, Paul Pattison, Lois Burwell
                    Makeup|My Family, Mi Familia|Ken Diaz, Mark Sanchez
                    Makeup|Roommates|Greg Cannom, Bob Laden, Colleen Callaghan
                    Music (Original Dramatic Score)|Apollo 13|James Horner
                    Music (Original Dramatic Score)|Braveheart|James Horner
                    Music (Original Dramatic Score)|Nixon|John Williams
             Winner Music (Original Dramatic Score)|The Postman (Il Postino)|Luis Enrique Bacalov
                    Music (Original Dramatic Score)|Sense and Sensibility|Patrick Doyle
                    Music (Original Musical or Comedy Score)|The American President|Marc Shaiman
             Winner Music (Original Musical or Comedy Score)|Pocahontas|Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken
                    Music (Original Musical or Comedy Score)|Sabrina|John Williams
                    Music (Original Musical or Comedy Score)|Toy Story|Randy Newman
                    Music (Original Musical or Comedy Score)|Unstrung Heroes|Thomas Newman
             Winner Music (Original Song)|"""Colors Of The Wind"" from Pocahontas"|Music by Alan Menken; Lyric by Stephen Schwartz
                    Music (Original Song)|"""Dead Man Walkin'"" from Dead Man Walking"|Music and Lyric by Bruce Springsteen
                    Music (Original Song)|"""Have You Ever Really Loved A Woman"" from Don Juan DeMarco"|Music and Lyric by Michael Kamen, Bryan Adams and Robert John Lange
                    Music (Original Song)|"""Moonlight"" from Sabrina"|Music by John Williams; Lyric by Alan Bergman and Marilyn Bergman
                    Music (Original Song)|"""You've Got A Friend In Me"" from Toy Story"|Music and Lyric by Randy Newman
                    Best Picture|Apollo 13|Brian Grazer, Producer
                    Best Picture|Babe|George Miller, Doug Mitchell and Bill Miller, Producers
             Winner Best Picture|Braveheart|Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers
                    Best Picture|The Postman (Il Postino)|Mario Cecchi Gori, Vittorio Cecchi Gori and Gaetano Daniele, Producers
                    Best Picture|Sense and Sensibility|Lindsay Doran, Producer
                    Short Film (Animated)|The Chicken from Outer Space|John R. Dilworth
             Winner Short Film (Animated)|A Close Shave|Nick Park
                    Short Film (Animated)|the end|Chris Landreth, Robin Bargar
                    Short Film (Animated)|Gagarin|Alexij Kharitidi
                    Short Film (Animated)|Runaway Brain|Chris Bailey
                    Short Film (Live Action)|Brooms|Luke Cresswell, Steve McNicholas
                    Short Film (Live Action)|Duke of Groove|Griffin Dunne, Thom Colwell
             Winner Short Film (Live Action)|Lieberman in Love|Christine Lahti, Jana Sue Memel
                    Short Film (Live Action)|Little Surprises|Jeff Goldblum, Tikki Goldberg
                    Short Film (Live Action)|Tuesday Morning Ride|Dianne Houston, Joy Ryan
             Winner Sound|Apollo 13|Rick Dior, Steve Pederson, Scott Millan, David MacMillan
                    Sound|Batman Forever|Donald O. Mitchell, Frank A. Montaño, Michael Herbick, Petur Hliddal
                    Sound|Braveheart|Andy Nelson, Scott Millan, Anna Behlmer, Brian Simmons
                    Sound|Crimson Tide|Kevin O'Connell, Rick Kline, Gregory H. Watkins, William B. Kaplan
                    Sound|Waterworld|Steve Maslow, Gregg Landaker, Keith A. Wester
                    Sound Effects Editing|Batman Forever|John Leveque, Bruce Stambler
             Winner Sound Effects Editing|Braveheart|Lon Bender, Per Hallberg
                    Sound Effects Editing|Crimson Tide|George Watters II
                    Visual Effects|Apollo 13|Robert Legato, Michael Kanfer, Leslie Ekker, Matt Sweeney
             Winner Visual Effects|Babe|Scott E. Anderson, Charles Gibson, Neal Scanlan, John Cox
                    Writing (Screenplay Based on Material Previously Produced or Published)|Apollo 13|William Broyles, Jr., Al Reinert
                    Writing (Screenplay Based on Material Previously Produced or Published)|Babe|George Miller, Chris Noonan
                    Writing (Screenplay Based on Material Previously Produced or Published)|Leaving Las Vegas|Mike Figgis
                    Writing (Screenplay Based on Material Previously Produced or Published)|The Postman (Il Postino)|Anna Pavignano, Michael Radford, Furio Scarpelli, Giacomo Scarpelli, Massimo Troisi
             Winner Writing (Screenplay Based on Material Previously Produced or Published)|Sense and Sensibility|Emma Thompson
                    Writing (Screenplay Written Directly for the Screen)|Braveheart|Randall Wallace
                    Writing (Screenplay Written Directly for the Screen)|Mighty Aphrodite|Woody Allen
                    Writing (Screenplay Written Directly for the Screen)|Nixon|Stephen J. Rivele, Christopher Wilkinson, Oliver Stone
                    Writing (Screenplay Written Directly for the Screen)|Toy Story|Screenplay by Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow; Story by John Lasseter, Peter Docter, Andrew Stanton, Joe Ranft
             Winner Writing (Screenplay Written Directly for the Screen)|The Usual Suspects|Christopher McQuarrie
             Winner Special Achievement Award|John Lasseter|Toy Story
             Winner Honorary Award|Kirk Douglas|
             Winner Honorary Award|Chuck Jones|
             Winner Gordon E. Sawyer Award|Donald C. Rogers|
1996      69        Actor in a Leading Role|Tom Cruise|Jerry Maguire
                    Actor in a Leading Role|Ralph Fiennes|The English Patient
                    Actor in a Leading Role|Woody Harrelson|The People vs. Larry Flynt
             Winner Actor in a Leading Role|Geoffrey Rush|Shine
                    Actor in a Leading Role|Billy Bob Thornton|Sling Blade
             Winner Actor in a Supporting Role|Cuba Gooding, Jr.|Jerry Maguire
                    Actor in a Supporting Role|William H. Macy|Fargo
                    Actor in a Supporting Role|Armin Mueller-Stahl|Shine
                    Actor in a Supporting Role|Edward Norton|Primal Fear
                    Actor in a Supporting Role|James Woods|Ghosts of Mississippi
                    Actress in a Leading Role|Brenda Blethyn|Secrets & Lies
                    Actress in a Leading Role|Diane Keaton|Marvin's Room
             Winner Actress in a Leading Role|Frances McDormand|Fargo
                    Actress in a Leading Role|Kristin Scott Thomas|The English Patient
                    Actress in a Leading Role|Emily Watson|Breaking the Waves
                    Actress in a Supporting Role|Joan Allen|The Crucible
                    Actress in a Supporting Role|Lauren Bacall|The Mirror Has Two Faces
             Winner Actress in a Supporting Role|Juliette Binoche|The English Patient
                    Actress in a Supporting Role|Barbara Hershey|The Portrait of a Lady
                    Actress in a Supporting Role|Marianne Jean-Baptiste|Secrets & Lies
                    Art Direction|The Birdcage|Art Direction: Bo Welch; Set Decoration: Cheryl Carasik
             Winner Art Direction|The English Patient|Art Direction: Stuart Craig; Set Decoration: Stephenie McMillan
                    Art Direction|Evita|Art Direction: Brian Morris; Set Decoration: Philippe Turlure
                    Art Direction|Hamlet|Tim Harvey
                    Art Direction|William Shakespeare's Romeo & Juliet|Art Direction: Catherine Martin; Set Decoration: Brigitte Broch
             Winner Cinematography|The English Patient|John Seale
                    Cinematography|Evita|Darius Khondji
                    Cinematography|Fargo|Roger Deakins
                    Cinematography|Fly Away Home|Caleb Deschanel
                    Cinematography|Michael Collins|Chris Menges
                    Costume Design|Angels and Insects|Paul Brown
                    Costume Design|Emma|Ruth Myers
             Winner Costume Design|The English Patient|Ann Roth
                    Costume Design|Hamlet|Alex Byrne
                    Costume Design|The Portrait of a Lady|Janet Patterson
             Winner Directing|The English Patient|Anthony Minghella
                    Directing|Fargo|Joel Coen
                    Directing|The People vs. Larry Flynt|Milos Forman
                    Directing|Secrets & Lies|Mike Leigh
                    Directing|Shine|Scott Hicks
                    Documentary (Feature)|The Line King: The Al Hirschfeld Story|Susan W. Dryfoos
                    Documentary (Feature)|Mandela|Jo Menell, Angus Gibson
                    Documentary (Feature)|Suzanne Farrell: Elusive Muse|Anne Belle, Deborah Dickson
                    Documentary (Feature)|Tell the Truth and Run: George Seldes and the American Press|Rick Goldsmith
             Winner Documentary (Feature)|When We Were Kings|Leon Gast, David Sonenberg
             Winner Documentary (Short Subject)|Breathing Lessons: The Life and Work of Mark O'Brien|Jessica Yu
                    Documentary (Short Subject)|Cosmic Voyage|Jeffrey Marvin, Bayley Silleck
                    Documentary (Short Subject)|An Essay on Matisse|Perry Wolff
                    Documentary (Short Subject)|Special Effects|Susanne Simpson, Ben Burtt
                    Documentary (Short Subject)|The Wild Bunch: An Album in Montage|Paul Seydor, Nick Redman
             Winner Film Editing|The English Patient|Walter Murch
                    Film Editing|Evita|Gerry Hambling
                    Film Editing|Fargo|Roderick Jaynes
                    Film Editing|Jerry Maguire|Joe Hutshing
                    Film Editing|Shine|Pip Karmel
                    Foreign Language Film|A Chef in Love|Georgia
             Winner Foreign Language Film|Kolya|Czech Republic
                    Foreign Language Film|The Other Side of Sunday|Norway
                    Foreign Language Film|Prisoner of the Mountains|Russia
                    Foreign Language Film|Ridicule|France
                    Makeup|Ghosts of Mississippi|Matthew W. Mungle, Deborah La Mia Denaver
             Winner Makeup|The Nutty Professor|Rick Baker, David LeRoy Anderson
                    Makeup|Star Trek: First Contact|Michael Westmore, Scott Wheeler, Jake Garber
             Winner Music (Original Dramatic Score)|The English Patient|Gabriel Yared
                    Music (Original Dramatic Score)|Hamlet|Patrick Doyle
                    Music (Original Dramatic Score)|Michael Collins|Elliot Goldenthal
                    Music (Original Dramatic Score)|Shine|David Hirschfelder
                    Music (Original Dramatic Score)|Sleepers|John Williams
             Winner Music (Original Musical or Comedy Score)|Emma|Rachel Portman
                    Music (Original Musical or Comedy Score)|The First Wives Club|Marc Shaiman
                    Music (Original Musical or Comedy Score)|The Hunchback of Notre Dame|Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken
                    Music (Original Musical or Comedy Score)|James and the Giant Peach|Randy Newman
                    Music (Original Musical or Comedy Score)|The Preacher's Wife|Hans Zimmer
                    Music (Original Song)|"""Because You Loved Me"" from Up Close and Personal"|Music and Lyric by Diane Warren
                    Music (Original Song)|"""For The First Time"" from One Fine Day"|Music and Lyric by James Newton Howard, Jud J. Friedman and Allan Dennis Rich
                    Music (Original Song)|"""I Finally Found Someone"" from The Mirror Has Two Faces"|Music and Lyric by Barbra Streisand, Marvin Hamlisch, Bryan Adams and Robert 'Mutt' Lange
                    Music (Original Song)|"""That Thing You Do!"" from That Thing You Do!"|Music and Lyric by Adam Schlesinger
             Winner Music (Original Song)|"""You Must Love Me"" from Evita"|Music by Andrew Lloyd Webber; Lyric by Tim Rice
             Winner Best Picture|The English Patient|Saul Zaentz, Producer
                    Best Picture|Fargo|Ethan Coen, Producer
                    Best Picture|Jerry Maguire|James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers
                    Best Picture|Secrets & Lies|Simon Channing-Williams, Producer
                    Best Picture|Shine|Jane Scott, Producer
                    Short Film (Animated)|Canhead|Timothy Hittle, Chris Peterson
                    Short Film (Animated)|La Salla|Richard Condie
             Winner Short Film (Animated)|Quest|Tyron Montgomery, Thomas Stellmach
                    Short Film (Animated)|Wat's Pig|Peter Lord
                    Short Film (Live Action)|De Tripas, Corazon|Antonio Urrutia
             Winner Short Film (Live Action)|Dear Diary|David Frankel, Barry Jossen
                    Short Film (Live Action)|Ernst & Lyset|Kim Magnusson, Anders Thomas Jensen
                    Short Film (Live Action)|Esposados|Juan Carlos Fresnadillo
                    Short Film (Live Action)|Wordless|Bernadette Carranza, Antonello De Leo
             Winner Sound|The English Patient|Walter Murch, Mark Berger, David Parker, Chris Newman
                    Sound|Evita|Andy Nelson, Anna Behlmer, Ken Weston
                    Sound|Independence Day|Chris Carpenter, Bill W. Benton, Bob Beemer, Jeff Wexler
                    Sound|The Rock|Kevin O'Connell, Greg P. Russell, Keith A. Wester
                    Sound|Twister|Steve Maslow, Gregg Landaker, Kevin O'Connell, Geoffrey Patterson
                    Sound Effects Editing|Daylight|Richard L. Anderson, David A. Whittaker
                    Sound Effects Editing|Eraser|Alan Robert Murray, Bub Asman
             Winner Sound Effects Editing|The Ghost and the Darkness|Bruce Stambler
                    Visual Effects|Dragonheart|Scott Squires, Phil Tippett, James Straus, Kit West
             Winner Visual Effects|Independence Day|Volker Engel, Douglas Smith, Clay Pinney, Joseph Viskocil
                    Visual Effects|Twister|Stefen Fangmeier, John Frazier, Habib Zargarpour, Henry La Bounta
                    Writing (Screenplay Based on Material Previously Produced or Published)|The Crucible|Arthur Miller
                    Writing (Screenplay Based on Material Previously Produced or Published)|The English Patient|Anthony Minghella
                    Writing (Screenplay Based on Material Previously Produced or Published)|Hamlet|Kenneth Branagh
             Winner Writing (Screenplay Based on Material Previously Produced or Published)|Sling Blade|Billy Bob Thornton
                    Writing (Screenplay Based on Material Previously Produced or Published)|Trainspotting|John Hodge
             Winner Writing (Screenplay Written Directly for the Screen)|Fargo|Ethan Coen, Joel Coen
                    Writing (Screenplay Written Directly for the Screen)|Jerry Maguire|Cameron Crowe
                    Writing (Screenplay Written Directly for the Screen)|Lone Star|John Sayles
                    Writing (Screenplay Written Directly for the Screen)|Secrets & Lies|Mike Leigh
                    Writing (Screenplay Written Directly for the Screen)|Shine|Screenplay by Jan Sardi; Story by Scott Hicks
             Winner Honorary Award|Michael Kidd|
             Winner Irving G. Thalberg Memorial Award|Saul Zaentz|
             Winner Award of Commendation|Joe Lombardi|
             Winner John A. Bonner Medal of Commendation|Volker W. Bahnemann|
             Winner John A. Bonner Medal of Commendation|"Burton ""Bud"" Stone"|
1997      70        Actor in a Leading Role|Matt Damon|Good Will Hunting
                    Actor in a Leading Role|Robert Duvall|The Apostle
                    Actor in a Leading Role|Peter Fonda|Ulee's Gold
                    Actor in a Leading Role|Dustin Hoffman|Wag the Dog
             Winner Actor in a Leading Role|Jack Nicholson|As Good as It Gets
                    Actor in a Supporting Role|Robert Forster|Jackie Brown
                    Actor in a Supporting Role|Anthony Hopkins|Amistad
                    Actor in a Supporting Role|Greg Kinnear|As Good as It Gets
                    Actor in a Supporting Role|Burt Reynolds|Boogie Nights
             Winner Actor in a Supporting Role|Robin Williams|Good Will Hunting
